Date,HE,PGE,SCE,SDGE,VEA,CAISO Total,,,,,,
1/1/19,1,9844.62026507493,9928.00161968658,2088.45377169807,92.069995786316,21953.1461632964,"Note: The hourly load value at hour ending (HE) 3:00 AM on 03/10/2019 is the average of both values at HE 2:00 AM and HE 4:00 AM on 03/10/2019, and the hourly load value at hour ending (HE) 2:00 AM on 11/3/2019 is the average of both values at HE 2:00 AM and HE 2’:00 AM (In other words, 2:00AM is repeated) on 11/3/2019 to address DST.
",,,,,
1/1/19,2,9507.69174512237,9604.44965383494,1998.91539705884,92.659878840827,21203.7161740617,,,,,,
1/1/19,3,9251.83785497969,9340.78079004727,1934.05717224007,93.5928961930089,20620.2685252787,,,,,,
1/1/19,4,9123.916880896,9183.89717542973,1891.80875104464,97.0522988064212,20296.6751715644,,,,,,
1/1/19,5,9156.27443738525,9170.72796437448,1898.7949151486,101.469058650261,20327.2661529123,,,,,,
1/1/19,6,9359.48071877364,9351.64800704327,1969.96487902873,107.149479861145,20788.2431184768,,,,,,
1/1/19,7,9730.57316127206,9640.46277441128,2059.57913712792,112.309401961458,21542.9248537811,,,,,,
1/1/19,8,9875.75007360071,9498.53209343898,2040.64394720962,113.41117540427,21528.3372021593,,,,,,
1/1/19,9,9649.06243129502,9227.5566691619,1937.75553443265,107.418717385317,20921.7934595514,,,,,,
1/1/19,10,9364.51077466358,8983.13470964521,1858.50005312614,101.233115736334,20307.3784057066,,,,,,
1/1/19,11,9072.77352747612,8800.27022209708,1736.02676362881,97.1176245678855,19706.1878812895,,,,,,
1/1/19,12,8690.97862468135,8654.1616751496,1670.22097709384,92.4557968367998,19107.8173937659,,,,,,
1/1/19,13,8372.63265159098,8555.98075847941,1663.96210997728,88.1997921300995,18680.7750855502,,,,,,
1/1/19,14,8397.59531051893,8558.74444333554,1707.86767137478,84.9826477561859,18749.1901023058,,,,,,
1/1/19,15,8722.72037064406,8794.38093079052,1779.38284017768,81.4908355177841,19377.9749489724,,,,,,
1/1/19,16,9279.31716194081,9244.84663546428,1955.86012017234,82.6707304530631,20562.694634552,,,,,,
1/1/19,17,10369.3108351949,10172.4128981155,2300.87009581198,91.3923679995688,22933.9867529589,,,,,,
1/1/19,18,11688.5008889961,11692.3029151454,2761.88332159886,98.8526455770478,26241.5401054641,,,,,,
1/1/19,19,11997.2839522579,12030.146692307,2799.1938285393,99.2433925562451,26925.8689613566,,,,,,
1/1/19,20,11875.8141428857,11992.329483419,2777.67211978918,99.87984783594,26745.6953119801,,,,,,
1/1/19,21,11649.5920149255,11893.45373619,2698.7511368903,99.8874333041074,26341.6843235154,,,,,,
1/1/19,22,11202.0197149482,11505.266942047,2582.69343131563,98.4411691883348,25388.4208933346,,,,,,
1/1/19,23,10543.7948258288,10829.1119519561,2372.49741055538,95.3255629841086,23840.729337945,,,,,,
1/2/19,24,9881.51262169641,10137.3230853311,2186.03345330354,94.3999570217659,22299.2689835965,,,,,,
1/2/19,1,9490.9829903582,9659.41173429777,2057.2561857075,95.1794379076152,21302.8302091309,,,,,,
1/2/19,2,9203.76754193531,9320.2995620701,1981.5566255458,96.0883176373123,20601.7124660242,,,,,,
1/2/19,3,9084.24908760539,9177.96197841851,1909.78246223993,99.3512420982242,20271.3445429349,,,,,,
1/2/19,4,9140.81653959281,9213.85484032452,1924.00804077336,104.482264786178,20383.1617463026,,,,,,
1/2/19,5,9491.20136832239,9538.44279321191,2008.47077996559,110.058092491961,21148.1732302449,,,,,,
1/2/19,6,10170.7458207248,10244.7449871133,2213.7030197888,119.515063655296,22748.7096970645,,,,,,
1/2/19,7,11160.7486931571,11120.8430666111,2464.77611925733,128.014588031382,24874.3835387588,,,,,,
1/2/19,8,11809.0474618929,11387.0282045855,2582.81925382174,129.73646492585,25908.6322228772,,,,,,
1/2/19,9,11701.8124699349,11253.9852699379,2525.38733674699,119.541473885467,25600.7261018871,,,,,,
1/2/19,10,11185.8808449383,10921.6458680057,2345.47496367785,107.047781574127,24560.0492709768,,,,,,
1/2/19,11,10693.9943104194,10677.1467106897,2148.27396766757,96.4478016156317,23615.8627724421,,,,,,
1/2/19,12,10271.5943697264,10402.2851847555,2055.56467795275,86.4547225468649,22815.8984957192,,,,,,
1/2/19,13,10019.7529755652,10176.406650772,2037.48175140208,80.5907636740694,22314.2324274956,,,,,,
1/2/19,14,9997.61392490946,10183.9150841681,2060.56125794699,73.8293332776672,22315.9196758232,,,,,,
1/2/19,15,10147.2729307807,10328.584666041,2137.87340650896,71.0823793855201,22684.8135874664,,,,,,
1/2/19,16,10629.9633147363,10688.9181049818,2301.03300894782,72.1790441245213,23692.09365107,,,,,,
1/2/19,17,11578.5971131926,11456.2339487437,2566.51100412791,80.666571478307,25682.009202998,,,,,,
1/2/19,18,12804.4381674764,12714.8139684444,2954.09183087513,92.2837285612399,28565.6282723893,,,,,,
1/2/19,19,13098.5927986625,12928.3519566939,3012.99928683891,96.9569227356626,29136.9015460877,,,,,,
1/2/19,20,12980.7123049907,12941.6153935578,2959.78946839498,99.9528512807936,28982.0705041681,,,,,,
1/2/19,21,12723.2665684487,12842.124056681,2892.60724244686,100.373132616472,28558.3710665083,,,,,,
